"map_id","stratum_type","stratum","games","wins","draws","losses","winRate","scoreRate","oneSided95WilsonWinLower","medianLiteralWinUpdates","tickCapCount","source_path"
"hfo-corners-b-golden","country","2","8","3","1","4","0.375","0.4375","0.16117233776071346","22526","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","3","8","5","1","2","0.625","0.6875","0.34799143840479974","12838","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","4","8","6","0","2","0.75","0.75","0.46015304548726005","30329","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","5","8","3","0","5","0.375","0.375","0.16117233776071346","44065","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","6","8","7","0","1","0.875","0.875","0.5888566256700796","21685","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","7","8","4","2","2","0.5","0.625","0.24864189021256208","29433","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","8","8","4","0","4","0.5","0.5","0.24864189021256208","38452","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","faction","Allied","20","6","0","14","0.3","0.3","0.16385941535197276","13672","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","faction","Soviet","16","9","0","7","0.5625","0.5625","0.3645781849214037","11667","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","slot","0","18","7","0","11","0.3888888888888889","0.3888888888888889","0.22658978563143434","12522","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","slot","1","18","8","0","10","0.4444444444444444","0.4444444444444444","0.2719364054526959","11673.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","start","151,119","18","1","0","17","0.05555555555555555","0.05555555555555555","0.01249319576298945","27366","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","start","87,158","18","14","0","4","0.7777777777777778","0.7777777777777778","0.5868786333177903","12178.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","0","4","2","0","2","0.5","0.5","0.18240016325469935","13831","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","1","4","1","0","3","0.25","0.25","0.05790732119988024","13007","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","2","4","0","0","4","0","0","0","","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","3","4","1","0","3","0.25","0.25","0.05790732119988024","13960","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","4","4","2","0","2","0.5","0.5","0.18240016325469935","13711.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","5","4","3","0","1","0.75","0.75","0.3561680085985971","12079","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","6","4","2","0","2","0.5","0.5","0.18240016325469935","10815","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","7","4","2","0","2","0.5","0.5","0.18240016325469935","12094.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-bvb","country","8","4","2","0","2","0.5","0.5","0.18240016325469935","11686","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","faction","Allied","20","14","0","6","0.7","0.7","0.516196280407611","21187","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","faction","Soviet","16","12","0","4","0.75","0.75","0.5452365088315935","20301","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","slot","0","18","10","0","8","0.5555555555555556","0.5555555555555556","0.368528895499344","22426","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","slot","1","18","16","0","2","0.8888888888888888","0.8888888888888888","0.7136244370337652","20876.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","start","39,82","18","9","0","9","0.5","0.5","0.31926013888728955","20960","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","start","87,157","18","17","0","1","0.9444444444444444","0.9444444444444444","0.7852331161361741","21769","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","0","4","2","0","2","0.5","0.5","0.18240016325469935","19820.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","1","4","3","0","1","0.75","0.75","0.3561680085985971","21815","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","2","4","3","0","1","0.75","0.75","0.3561680085985971","21787","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","3","4","3","0","1","0.75","0.75","0.3561680085985971","20960","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","4","4","3","0","1","0.75","0.75","0.3561680085985971","20928","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","5","4","3","0","1","0.75","0.75","0.3561680085985971","20257","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","6","4","4","0","0","1","1","0.5965213747974335","20877","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","7","4","2","0","2","0.5","0.5","0.18240016325469935","24284.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-lvl","country","8","4","3","0","1","0.75","0.75","0.3561680085985971","19692","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-rvr","faction","Allied","20","10","8","2","0.5","0.7","0.3274037678851996","9433","7","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-rvr","faction","Soviet","16","16","0","0","1","1","0.8553614087324615","21957.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-rvr","slot","0","18","13","5","0","0.7222222222222222","0.8611111111111112","0.5286938303240728","21777","4","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
