"caseIndex","opponent","opponentMapOrdinal","mapId","directionOrdinal","candidateStart","opponentStart","candidateStartOrdinal","opponentStartOrdinal","countryOrdinal","country","candidateSlot","requestedEngineSeed","maxUpdates","stratumId","topologyId","role","schedulerJobId","pairedArtifactSha256","sourceCommit","disabledV5","disabledV6","v2V5","v2V6"
"30","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","6","Arabs","0","3350108030","24000","pinned_supalosa__hfo-le","hfo","competitive","27061678","5c5c502efccbab4ab1dbc9ca16f60183d59b6a1618160efc7d8d36ae5d76e14b","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10073,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10073,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"31","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","6","Arabs","1","3350108031","24000","pinned_supalosa__hfo-le","hfo","competitive","27061679","be3f826b9d89d37bdecb44572dc45b274246c6e15801f0fa54ba7fb1d3711f31","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":18185,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":18185,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"32","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","7","Confederation","0","3350108032","24000","pinned_supalosa__hfo-le","hfo","competitive","27061680","f4c47901888dfd72aa11b10cce06f36b2f62cf88ebb3a4e85c746cc76aebb0a8","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10428,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10428,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"33","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","7","Confederation","1","3350108033","24000","pinned_supalosa__hfo-le","hfo","competitive","27061681","d49494114ba42089d0fad536388b0dedbb4a73b741ea9663eec5eeb56cea8412","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":17248,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":17248,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":17145,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":17145,""winner"":""candidate""}"
"34","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","8","Russians","0","3350108034","24000","pinned_supalosa__hfo-le","hfo","competitive","27061682","b3ca1cff1444d3fdb51357fe09b9ad24f8899bf1bf6bd8bc6fbb4d99593ce81d","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9270,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9270,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"35","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","8","Russians","1","3350108035","24000","pinned_supalosa__hfo-le","hfo","competitive","27061683","57d8a1e66a60630debf7c4f1f8b959fbaa94f3f9552441da185ca988ecb6ad80","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10165,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10165,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"36","pinned_supalosa","1","peak","0","118,73","37,73","0","1","0","Americans","0","3350108036","24000","pinned_supalosa__peak","peak","competitive","27061684","c757ca6b60f8105b6714c698b5ac5901fc6b72ddda5d7f47e1275ca4796fb79e","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""baseline_win"",""tick"":22630,""winner"":""baseline""}","{""status"":""baseline_win"",""tick"":22630,""winner"":""baseline""}"
"37","pinned_supalosa","1","peak","0","118,73","37,73","0","1","0","Americans","1","3350108037","24000","pinned_supalosa__peak","peak","competitive","27061685","d7d97eb98295517c29ef4833859737c20017ab2644f57b0609c50a57965e4ec6","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":9802,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9802,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12190,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":12190,""winner"":""candidate""}"
"38","pinned_supalosa","1","peak","0","118,73","37,73","0","1","1","Alliance","0","3350108038","24000","pinned_supalosa__peak","peak","competitive","27061686","c33232d237f370a0d887975450e405c627a21672cbcae8c29bd5182c362cd4b8","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10915,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10915,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":18667,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":18667,""winner"":""candidate""}"
"39","pinned_supalosa","1","peak","0","118,73","37,73","0","1","1","Alliance","1","3350108039","24000","pinned_supalosa__peak","peak","competitive","27061687","4d13416df4b4fb30df092482108a632b6a727884625ef715547a04b23bb9ecce","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":10204,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10204,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10553,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":10553,""winner"":""candidate""}"
