"jobLabel","rawJobId","state","exitCode","account","partition","allocatedCpus","restarts","elapsedSeconds","totalCpu","maxRss","requestedMemory","timeLimitMinutes","requestedTres","allocatedTres"
"27365752_23","27365779","COMPLETED","0:0","pi_jss233","day","1","0","581","08:58.706","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_23.batch","27365779.batch","COMPLETED","0:0","pi_jss233","","1","","581","08:58.706","894404K","","","","cpu=1,mem=8G,node=1"
"27365752_23.extern","27365779.extern","COMPLETED","0:0","pi_jss233","","1","","581","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_24","27365780","COMPLETED","0:0","pi_jss233","day","1","0","341","04:57.980","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_24.batch","27365780.batch","COMPLETED","0:0","pi_jss233","","1","","341","04:57.980","870416K","","","","cpu=1,mem=8G,node=1"
"27365752_24.extern","27365780.extern","COMPLETED","0:0","pi_jss233","","1","","342","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_25","27365781","COMPLETED","0:0","pi_jss233","day","1","0","1046","16:40.732","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_25.batch","27365781.batch","COMPLETED","0:0","pi_jss233","","1","","1046","16:40.732","903328K","","","","cpu=1,mem=8G,node=1"
"27365752_25.extern","27365781.extern","COMPLETED","0:0","pi_jss233","","1","","1046","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_26","27365782","COMPLETED","0:0","pi_jss233","day","1","0","1077","17:11.651","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_26.batch","27365782.batch","COMPLETED","0:0","pi_jss233","","1","","1077","17:11.651","902464K","","","","cpu=1,mem=8G,node=1"
"27365752_26.extern","27365782.extern","COMPLETED","0:0","pi_jss233","","1","","1077","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_27","27365783","COMPLETED","0:0","pi_jss233","day","1","0","549","08:38.578","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_27.batch","27365783.batch","COMPLETED","0:0","pi_jss233","","1","","549","08:38.578","902348K","","","","cpu=1,mem=8G,node=1"
"27365752_27.extern","27365783.extern","COMPLETED","0:0","pi_jss233","","1","","549","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_28","27365784","COMPLETED","0:0","pi_jss233","day","1","0","775","12:23.158","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_28.batch","27365784.batch","COMPLETED","0:0","pi_jss233","","1","","775","12:23.158","887600K","","","","cpu=1,mem=8G,node=1"
"27365752_28.extern","27365784.extern","COMPLETED","0:0","pi_jss233","","1","","775","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_29","27365785","COMPLETED","0:0","pi_jss233","day","1","0","564","08:55.158","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_29.batch","27365785.batch","COMPLETED","0:0","pi_jss233","","1","","564","08:55.158","887552K","","","","cpu=1,mem=8G,node=1"
"27365752_29.extern","27365785.extern","COMPLETED","0:0","pi_jss233","","1","","565","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_30","27365786","COMPLETED","0:0","pi_jss233","day","1","0","524","08:13.639","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_30.batch","27365786.batch","COMPLETED","0:0","pi_jss233","","1","","524","08:13.639","889764K","","","","cpu=1,mem=8G,node=1"
"27365752_30.extern","27365786.extern","COMPLETED","0:0","pi_jss233","","1","","524","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_31","27365787","COMPLETED","0:0","pi_jss233","day","1","0","841","13:29.220","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_31.batch","27365787.batch","COMPLETED","0:0","pi_jss233","","1","","841","13:29.220","898276K","","","","cpu=1,mem=8G,node=1"
"27365752_31.extern","27365787.extern","COMPLETED","0:0","pi_jss233","","1","","841","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_32","27365896","COMPLETED","0:0","pi_jss233","day","1","0","557","09:02.190","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_32.batch","27365896.batch","COMPLETED","0:0","pi_jss233","","1","","557","09:02.190","862592K","","","","cpu=1,mem=8G,node=1"
"27365752_32.extern","27365896.extern","COMPLETED","0:0","pi_jss233","","1","","557","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_33","27365898","COMPLETED","0:0","pi_jss233","day","1","0","1700","27:53.220","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_33.batch","27365898.batch","COMPLETED","0:0","pi_jss233","","1","","1700","27:53.220","1018484K","","","","cpu=1,mem=8G,node=1"
"27365752_33.extern","27365898.extern","COMPLETED","0:0","pi_jss233","","1","","1700","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_34","27365902","COMPLETED","0:0","pi_jss233","day","1","0","1278","20:50.983","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_34.batch","27365902.batch","COMPLETED","0:0","pi_jss233","","1","","1278","20:50.983","986592K","","","","cpu=1,mem=8G,node=1"
"27365752_34.extern","27365902.extern","COMPLETED","0:0","pi_jss233","","1","","1278","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_35","27365903","COMPLETED","0:0","pi_jss233","day","1","0","905","14:49.937","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_35.batch","27365903.batch","COMPLETED","0:0","pi_jss233","","1","","905","14:49.937","931172K","","","","cpu=1,mem=8G,node=1"
"27365752_35.extern","27365903.extern","COMPLETED","0:0","pi_jss233","","1","","905","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_36","27365951","COMPLETED","0:0","pi_jss233","day","1","0","277","04:27.923","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_36.batch","27365951.batch","COMPLETED","0:0","pi_jss233","","1","","277","04:27.923","898572K","","","","cpu=1,mem=8G,node=1"
"27365752_36.extern","27365951.extern","COMPLETED","0:0","pi_jss233","","1","","277","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_37","27365954","COMPLETED","0:0","pi_jss233","day","1","0","810","13:16.731","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_37.batch","27365954.batch","COMPLETED","0:0","pi_jss233","","1","","810","13:16.731","927600K","","","","cpu=1,mem=8G,node=1"
"27365752_37.extern","27365954.extern","COMPLETED","0:0","pi_jss233","","1","","810","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_38","27365958","COMPLETED","0:0","pi_jss233","day","1","0","804","13:13.028","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_38.batch","27365958.batch","COMPLETED","0:0","pi_jss233","","1","","804","13:13.028","927720K","","","","cpu=1,mem=8G,node=1"
"27365752_38.extern","27365958.extern","COMPLETED","0:0","pi_jss233","","1","","804","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_39","27365960","COMPLETED","0:0","pi_jss233","day","1","0","1261","20:51.421","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_39.batch","27365960.batch","COMPLETED","0:0","pi_jss233","","1","","1261","20:51.421","949388K","","","","cpu=1,mem=8G,node=1"
"27365752_39.extern","27365960.extern","COMPLETED","0:0","pi_jss233","","1","","1261","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_40","27365976","COMPLETED","0:0","pi_jss233","day","1","0","309","05:04.717","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_40.batch","27365976.batch","COMPLETED","0:0","pi_jss233","","1","","309","05:04.717","836124K","","","","cpu=1,mem=8G,node=1"
"27365752_40.extern","27365976.extern","COMPLETED","0:0","pi_jss233","","1","","309","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_41","27366020","COMPLETED","0:0","pi_jss233","day","1","0","1172","19:24.240","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_41.batch","27366020.batch","COMPLETED","0:0","pi_jss233","","1","","1172","19:24.240","868504K","","","","cpu=1,mem=8G,node=1"
"27365752_41.extern","27366020.extern","COMPLETED","0:0","pi_jss233","","1","","1172","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_42","27366037","COMPLETED","0:0","pi_jss233","day","1","0","1115","18:26.242","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_42.batch","27366037.batch","COMPLETED","0:0","pi_jss233","","1","","1115","18:26.242","887980K","","","","cpu=1,mem=8G,node=1"
"27365752_42.extern","27366037.extern","COMPLETED","0:0","pi_jss233","","1","","1115","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_43","27366041","COMPLETED","0:0","pi_jss233","day","1","0","1494","24:43.880","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_43.batch","27366041.batch","COMPLETED","0:0","pi_jss233","","1","","1494","24:43.880","903572K","","","","cpu=1,mem=8G,node=1"
"27365752_43.extern","27366041.extern","COMPLETED","0:0","pi_jss233","","1","","1494","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_44","27366043","COMPLETED","0:0","pi_jss233","day","1","0","290","04:43.692","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_44.batch","27366043.batch","COMPLETED","0:0","pi_jss233","","1","","290","04:43.692","856516K","","","","cpu=1,mem=8G,node=1"
"27365752_44.extern","27366043.extern","COMPLETED","0:0","pi_jss233","","1","","290","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_45","27366053","COMPLETED","0:0","pi_jss233","day","1","0","602","09:50.647","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
