"caseIndex","caseId","blockIndex","cohort","mapId","countryOrdinal","country","candidateStartOrdinal","opponentStartOrdinal","candidateStart","opponentStart","candidateSlot","repeatIndex","pairIndex","pairId","requestedEngineSeed","observedCandidateStart","observedOpponentStart","updates","selectorJobId","cellSha256"
"32","fresh-dual-v1-0032","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","6","16","central:hfo-le:0:1:6","3765000016","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"33","fresh-dual-v1-0033","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","6","16","central:hfo-le:0:1:6","3765000016","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"34","fresh-dual-v1-0034","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","7","17","central:hfo-le:0:1:7","3765000017","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"35","fresh-dual-v1-0035","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","7","17","central:hfo-le:0:1:7","3765000017","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"36","fresh-dual-v1-0036","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","8","18","central:hfo-le:0:1:8","3765000018","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"37","fresh-dual-v1-0037","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","8","18","central:hfo-le:0:1:8","3765000018","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"38","fresh-dual-v1-0038","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","9","19","central:hfo-le:0:1:9","3765000019","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"39","fresh-dual-v1-0039","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","9","19","central:hfo-le:0:1:9","3765000019","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"40","fresh-dual-v1-0040","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","0","20","central:hfo-le:0:2:0","3765000020","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"41","fresh-dual-v1-0041","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","0","20","central:hfo-le:0:2:0","3765000020","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"42","fresh-dual-v1-0042","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","1","21","central:hfo-le:0:2:1","3765000021","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"43","fresh-dual-v1-0043","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","1","21","central:hfo-le:0:2:1","3765000021","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
